,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,Hotel_names,Mask_Hotel_names,encrypt_Hotel_names,decrypted_Hotel_names
0,Resort Hotel,0,342,2015,July,27,1,0,0,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,C,C,3,No Deposit,,,0,Transient,0.0,0,0,Check-Out,2015-07-01,Sanita Stetson Maude ,ECCPEA XSPNAIN WFRTK ,b'gAAAAABjuGKQLF0VCADM108DfMR0iKEGCxiZ5TL69FdvgMptsaelIzfd-qPE1JDL28XecYwC8WsSE5Ld2tqSdw1hlMoHBxjxzJB3WDSNfuFtVbcxbXLJ6j8=',b'Sanita Stetson Maude '
1,Resort Hotel,0,737,2015,July,27,1,0,0,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,C,C,4,No Deposit,,,0,Transient,0.0,0,0,Check-Out,2015-07-01,Sanya Oziel Charmagne Tequila ,LJGZW PSQTK SVBGDUPSR XSHXURR ,b'gAAAAABjuGKQxPYTKKfuz-MH62ozbTJvIaZKA9EjLfgjIpDrTpXVw8PUPNq2O7OBdTTzxlQxoRKDOvvi9JaenBMUgFa9yatyZnECTPxs3OVpEZW27FECsTs=',b'Sanya Oziel Charmagne Tequila '
2,Resort Hotel,0,7,2015,July,27,1,0,1,1,0.0,0,BB,GBR,Direct,Direct,0,0,0,A,C,0,No Deposit,,,0,Transient,75.0,0,0,Check-Out,2015-07-02,Teairra Delwyn ,GFPVIBA LLRNPW ,b'gAAAAABjuGKQQlp74rVNlF5XdYLuENefi2Iv-qA_p4s7b0l_-RnyYeY3oROYZldlPcArf9gNqyEmIS_jx8Z0uxDNpT-UK-7OPA==',b'Teairra Delwyn '
3,Resort Hotel,0,13,2015,July,27,1,0,1,1,0.0,0,BB,GBR,Corporate,Corporate,0,0,0,A,A,0,No Deposit,304.0,,0,Transient,75.0,0,0,Check-Out,2015-07-02,Jenetta Jeriah ,CFNXZAP RIRJZU ,b'gAAAAABjuGKQVSYM28CUr1PxzATWylv7T4wqxm9V9n-T1jNFkPC9tsVSeMZmVLO7X8N9Pwwpi1_qKl3R_94UrWiqNBJ40PW9_Q==',b'Jenetta Jeriah '
4,Resort Hotel,0,14,2015,July,27,1,0,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,98.0,0,1,Check-Out,2015-07-03,Komal Mariya Mya ,KRTQV XZLNDE LDL ,b'gAAAAABjuGKQLQuQkW0yFHlinQ3PEcRSFDIJZTTxIF_MoAWj3ImxQoBTHlFidp2er3n3DH9NKXdayaNgqA5xUS4qB2GuX_dgMFAWEBonjR3NEx2k8-hPzJI=',b'Komal Mariya Mya '
5,Resort Hotel,0,14,2015,July,27,1,0,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,98.0,0,1,Check-Out,2015-07-03,Crissie Zora Tonimarie ,VVDUVJD BGQK JPRZQDAVP ,b'gAAAAABjuGKQSyNf4f3A7CaJzRKavxps42XXk6tXnkFSjgEddOuiNtuICB4Ohb5ZEa-gakc-GOYuDoWZyZKA_is6L9S8rpI5xOz8dvTJsxhEC5Di3CIS7uc=',b'Crissie Zora Tonimarie '
6,Resort Hotel,0,0,2015,July,27,1,0,2,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,,,0,Transient,107.0,0,0,Check-Out,2015-07-03,Lisaann Wray ,DPTRYOH ANVW ,b'gAAAAABjuGKQDYiZJbG1HNbxwFhNnSDfD0Bi_dXBXeii6n_rQxXDvaJsKOt1cD3M65R38c2jIGrCM6AcgKMH-kmETDVxVdTaEg==',b'Lisaann Wray '
7,Resort Hotel,0,9,2015,July,27,1,0,2,2,0.0,0,FB,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,303.0,,0,Transient,103.0,0,1,Check-Out,2015-07-03,Evita Fredric Ceilia ,ITRUL XNEPOWF NDEOMP ,b'gAAAAABjuGKQAl2ghKGYkE16tiOyfR6DEc0pZhw2c-_GvCdkTKsiZenwU6C33ydemoQ79kCd0AHXrKdO2oKs5_3vG2Ki3FCi1WCuKmeQzQNaPc_D9YH-i98=',b'Evita Fredric Ceilia '
8,Resort Hotel,1,85,2015,July,27,1,0,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,82.0,0,1,Canceled,2015-05-06,Maxamillion Tameisha ,JXYFUMNUYDN NRYOKIWL ,b'gAAAAABjuGKQza2knfZT8ecovXCJKA3UIHNnq1sxTVxd6Q694lGujR8rktKntHaWc8cQC33J399ihBOtnMWY3XlEc01dO81kmy3lpkf6uUv80Zl6gEGy4u8=',b'Maxamillion Tameisha '
9,Resort Hotel,1,75,2015,July,27,1,0,3,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,15.0,,0,Transient,105.5,0,0,Canceled,2015-04-22,Shakiera Asad Tyshaun Nalani ,KEXRGFDF ZRKI XXMFTAV GFRPAB ,b'gAAAAABjuGKQUAOrfFojtyKAPk-Ju9J3R55YKqy1saunHnW58BUIeI0vxJipPt7ngZI40g0-wRvw-S6h289hCJBl-5y_2I3UvLgtuCxX4YFKIkRPsRhH2s4=',b'Shakiera Asad Tyshaun Nalani '
